host_id,longitude,number_of_reviews,calculated_host_listings_count,availability_365,neighbourhood_encoded,room_type_encoded
13164593.0,-73.96465,0.0,1.0,0.0,8.0,0.0
187116536.0,-73.95103,58.0,1.0,70.0,20.0,1.0
77778146.0,-73.94764,3.0,8.0,189.0,15.0,0.0
3298062.0,-73.99031,12.0,1.0,203.0,9.0,1.0
16437254.0,-73.96026,2.0,21.0,342.0,3.0,1.0
139259102.0,-73.99228,1.0,2.0,0.0,1.0,0.0
71754921.0,-73.94351,0.0,1.0,0.0,15.0,1.0
27007200.0,-73.93993,0.0,1.0,29.0,12.0,1.0
35667639.0,-73.98146,6.0,1.0,180.0,132.0,0.0
258826234.0,-73.95489,1.0,1.0,35.0,15.0,1.0
266371525.0,-73.92295,0.0,1.0,176.0,21.0,0.0
126449349.0,-73.98866,2.0,2.0,159.0,23.0,1.0
217642173.0,-73.99994,0.0,2.0,140.0,7.0,0.0
24674100.0,-73.97997,0.0,1.0,54.0,26.0,1.0
971075.0,-73.94174,50.0,2.0,38.0,2.0,0.0
16591072.0,-73.98899,1.0,1.0,0.0,38.0,1.0
24037775.0,-73.9946,0.0,1.0,0.0,14.0,1.0
36573037.0,-73.91744,38.0,2.0,344.0,18.0,0.0
23589288.0,-73.9574,9.0,1.0,0.0,6.0,0.0
47187850.0,-73.99504,1.0,1.0,0.0,7.0,1.0
41499146.0,-73.95528,11.0,1.0,18.0,2.0,1.0
67677095.0,-73.96605,1.0,1.0,0.0,8.0,0.0
5889721.0,-74.02268,8.0,2.0,339.0,90.0,0.0
1272997.0,-73.95248,68.0,1.0,9.0,20.0,0.0
51501835.0,-73.99435,3.0,31.0,339.0,7.0,1.0
265152.0,-73.9774,14.0,3.0,0.0,13.0,0.0
11542120.0,-73.99473,0.0,1.0,0.0,52.0,0.0
39395975.0,-73.92726,0.0,1.0,16.0,18.0,1.0
140997060.0,-73.98532,0.0,2.0,0.0,8.0,0.0
6263540.0,-74.00572,3.0,1.0,0.0,11.0,1.0
30283594.0,-73.9996,0.0,121.0,364.0,7.0,1.0
8455776.0,-73.95033,23.0,2.0,97.0,2.0,0.0
6725302.0,-73.988,0.0,1.0,0.0,7.0,1.0
41177070.0,-73.94432,16.0,2.0,66.0,12.0,1.0
8951505.0,-73.9753,29.0,1.0,55.0,19.0,1.0
19303369.0,-73.92348,1.0,37.0,32.0,18.0,0.0
4454849.0,-73.99203,0.0,1.0,0.0,7.0,1.0
158739.0,-73.94356,2.0,2.0,81.0,24.0,0.0
103281721.0,-74.08206,17.0,1.0,0.0,93.0,0.0
156948703.0,-73.87336,257.0,6.0,351.0,103.0,0.0
3263559.0,-73.98159,7.0,1.0,5.0,8.0,1.0
11762397.0,-73.99331,146.0,1.0,112.0,23.0,1.0
2948760.0,-73.96651,3.0,1.0,0.0,3.0,1.0
14010411.0,-73.96423,4.0,1.0,0.0,29.0,0.0
219517861.0,-74.01183,8.0,327.0,333.0,43.0,1.0
245258532.0,-73.83101,16.0,2.0,6.0,116.0,0.0
153900772.0,-73.92116,4.0,1.0,0.0,6.0,0.0
114477998.0,-73.94664,110.0,4.0,237.0,4.0,0.0
10771238.0,-73.95289,0.0,3.0,188.0,2.0,0.0
79105834.0,-73.93405,86.0,9.0,301.0,25.0,0.0
16098958.0,-73.9659,2.0,96.0,310.0,8.0,1.0
256581747.0,-73.9426,0.0,3.0,364.0,12.0,0.0
11403548.0,-73.95697,0.0,1.0,30.0,12.0,1.0
10737943.0,-73.97623,3.0,10.0,365.0,8.0,0.0
150891854.0,-73.9369,2.0,1.0,0.0,6.0,0.0
268757078.0,-73.94915,3.0,2.0,171.0,54.0,0.0
4043259.0,-73.95712,131.0,2.0,120.0,20.0,0.0
